Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SP,Lucas Giolito (13361140),Lucas Giolito,13361140,P,11900,CWS@MIN 09/16/2019 07:40PM ET,CWS,23.2
SP,Stephen Strasburg (13360570),Stephen Strasburg,13360570,P,11800,WAS@STL 09/16/2019 07:45PM ET,WAS,22.01
SP,Jacob deGrom (13361141),Jacob deGrom,13361141,P,11500,NYM@COL 09/16/2019 08:40PM ET,NYM,22.99
SP,Max Scherzer (13361142),Max Scherzer,13361142,P,11400,WAS@STL 09/16/2019 07:45PM ET,WAS,23.95
SP,Sonny Gray (13360571),Sonny Gray,13360571,P,10900,CIN@CHC 09/16/2019 08:05PM ET,CIN,18.00
SP,Zac Gallen (13361143),Zac Gallen,13361143,P,10600,MIA@ARI 09/16/2019 09:40PM ET,ARI,18.19
SP,Jake Odorizzi (13361145),Jake Odorizzi,13361145,P,10500,CWS@MIN 09/16/2019 07:40PM ET,MIN,17.23
SP,Patrick Corbin (13361144),Patrick Corbin,13361144,P,10500,WAS@STL 09/16/2019 07:45PM ET,WAS,21.15
SP,Yu Darvish (13361146),Yu Darvish,13361146,P,10300,CIN@CHC 09/16/2019 08:05PM ET,CHC,18.61
SP,Luis Castillo (13361147),Luis Castillo,13361147,P,10200,CIN@CHC 09/16/2019 08:05PM ET,CIN,21
SP,Jose Berrios (13360572),Jose Berrios,13360572,P,10200,CWS@MIN 09/16/2019 07:40PM ET,MIN,17.86
SP,Chris Paddack (13361148),Chris Paddack,13361148,P,10200,SD@MIL 09/16/2019 07:40PM ET,SD,17.68
SP,Frankie Montas (13361149),Frankie Montas,13361149,P,10100,KC@OAK 09/16/2019 10:07PM ET,OAK,21.03
SP,Michael Pineda (13361150),Michael Pineda,13361150,P,10000,CWS@MIN 09/16/2019 07:40PM ET,MIN,16.08
SP,Brandon Woodruff (13361153),Brandon Woodruff,13361153,P,10000,SD@MIL 09/16/2019 07:40PM ET,MIL,15.88
SP,Zack Wheeler (13361152),Zack Wheeler,13361152,P,10000,NYM@COL 09/16/2019 08:40PM ET,NYM,16.97
SP,Jack Flaherty (13361151),Jack Flaherty,13361151,P,10000,WAS@STL 09/16/2019 07:45PM ET,STL,17.54
SP,Trevor Bauer (13361154),Trevor Bauer,13361154,P,9900,CIN@CHC 09/16/2019 08:05PM ET,CIN,19.22
SP,Robbie Ray (13360573),Robbie Ray,13360573,P,9800,MIA@ARI 09/16/2019 09:40PM ET,ARI,17.94
SP,Kyle Hendricks (13361155),Kyle Hendricks,13361155,P,9700,CIN@CHC 09/16/2019 08:05PM ET,CHC,16.00
SP,Alex Young (13361156),Alex Young,13361156,P,9700,MIA@ARI 09/16/2019 09:40PM ET,ARI,14.76
SP,Carlos Martinez (13361157),Carlos Martinez,13361157,P,9700,WAS@STL 09/16/2019 07:45PM ET,STL,3.63
RP,A.J. Puk (13361158),A.J. Puk,13361158,P,9700,KC@OAK 09/16/2019 10:07PM ET,OAK,3.59
SP,Jose Quintana (13361159),Jose Quintana,13361159,P,9600,CIN@CHC 09/16/2019 08:05PM ET,CHC,13.89
SP,Carlos Rodon (13361160),Carlos Rodon,13361160,P,9500,CWS@MIN 09/16/2019 07:40PM ET,CWS,15.91
SP,Noah Syndergaard (13361162),Noah Syndergaard,13361162,P,9400,NYM@COL 09/16/2019 08:40PM ET,NYM,17.63
SP,Jesus Luzardo (13361161),Jesus Luzardo,13361161,P,9400,KC@OAK 09/16/2019 10:07PM ET,OAK,9.25
SP,Tanner Roark (13360574),Tanner Roark,13360574,P,9300,KC@OAK 09/16/2019 10:07PM ET,OAK,14.43
SP,Freddy Peralta (13361165),Freddy Peralta,13361165,P,9200,SD@MIL 09/16/2019 07:40PM ET,MIL,6.77
SP,Caleb Smith (13361164),Caleb Smith,13361164,P,9200,MIA@ARI 09/16/2019 09:40PM ET,MIA,16.26
SP,Alex Reyes (13361163),Alex Reyes,13361163,P,9200,WAS@STL 09/16/2019 07:45PM ET,STL,-1.51
SP,Robert Stephenson (13361166),Robert Stephenson,13361166,P,9100,CIN@CHC 09/16/2019 08:05PM ET,CIN,3.96
RP,Richard Lovelady (13361167),Richard Lovelady,13361167,P,9000,KC@OAK 09/16/2019 10:07PM ET,KC,0.86
SP,Andrew Triggs (13361168),Andrew Triggs,13361168,P,8900,KC@OAK 09/16/2019 10:07PM ET,OAK,0
SP,Sean Manaea (13361169),Sean Manaea,13361169,P,8900,KC@OAK 09/16/2019 10:07PM ET,OAK,26.9
SP,Marcus Stroman (13361170),Marcus Stroman,13361170,P,8800,NYM@COL 09/16/2019 08:40PM ET,NYM,14.94
SP,Cole Hamels (13360575),Cole Hamels,13360575,P,8700,CIN@CHC 09/16/2019 08:05PM ET,CHC,14.44
SP,Taylor Widener (13361172),Taylor Widener,13361172,P,8700,MIA@ARI 09/16/2019 09:40PM ET,ARI,0
SP,German Marquez (13361171),German Marquez,13361171,P,8700,NYM@COL 09/16/2019 08:40PM ET,COL,16.62
SP,Anibal Sanchez (13361173),Anibal Sanchez,13361173,P,8700,WAS@STL 09/16/2019 07:45PM ET,WAS,13.64
SP,Alex Wood (13361176),Alex Wood,13361176,P,8500,CIN@CHC 09/16/2019 08:05PM ET,CIN,9.66
SP,Dinelson Lamet (13361175),Dinelson Lamet,13361175,P,8500,SD@MIL 09/16/2019 07:40PM ET,SD,17.02
SP,Luke Weaver (13361174),Luke Weaver,13361174,P,8500,MIA@ARI 09/16/2019 09:40PM ET,ARI,17.25
SP,Lewis Thorpe (13361178),Lewis Thorpe,13361178,P,8400,CWS@MIN 09/16/2019 07:40PM ET,MIN,5.94
SP,Taijuan Walker (13361179),Taijuan Walker,13361179,P,8400,MIA@ARI 09/16/2019 09:40PM ET,ARI,0
SP,Chris Bassitt (13361177),Chris Bassitt,13361177,P,8400,KC@OAK 09/16/2019 10:07PM ET,OAK,15.45
SP,Anthony DeSclafani (13361180),Anthony DeSclafani,13361180,P,8300,CIN@CHC 09/16/2019 08:05PM ET,CIN,15.39
SP,Cody Reed (13361182),Cody Reed,13361182,P,8300,CIN@CHC 09/16/2019 08:05PM ET,CIN,7.35
SP,Jon Lester (13361184),Jon Lester,13361184,P,8300,CIN@CHC 09/16/2019 08:05PM ET,CHC,13.80
SP,Kevin Gausman (13361186),Kevin Gausman,13361186,P,8300,CIN@CHC 09/16/2019 08:05PM ET,CIN,8.59
SP,Ross Detwiler (13361189),Ross Detwiler,13361189,P,8300,CWS@MIN 09/16/2019 07:40PM ET,CWS,4.79
SP,Brent Suter (13361183),Brent Suter,13361183,P,8300,SD@MIL 09/16/2019 07:40PM ET,MIL,8.9
RP,Austin Gomber (13361187),Austin Gomber,13361187,P,8300,WAS@STL 09/16/2019 07:45PM ET,STL,0
SP,Jharel Cotton (13361181),Jharel Cotton,13361181,P,8300,KC@OAK 09/16/2019 10:07PM ET,OAK,0
SP,Jakob Junis (13361185),Jakob Junis,13361185,P,8300,KC@OAK 09/16/2019 10:07PM ET,KC,12.84
RP,Josh Staumont (13361188),Josh Staumont,13361188,P,8300,KC@OAK 09/16/2019 10:07PM ET,KC,2.67
SP,Kyle Gibson (13361191),Kyle Gibson,13361191,P,8200,CWS@MIN 09/16/2019 07:40PM ET,MIN,13.48
SP,Jordan Lyles (13361190),Jordan Lyles,13361190,P,8200,SD@MIL 09/16/2019 07:40PM ET,MIL,14.30
SP,Chris Flexen (13361192),Chris Flexen,13361192,P,8200,NYM@COL 09/16/2019 08:40PM ET,NYM,1.55
SP,Brett Kennedy (13361195),Brett Kennedy,13361195,P,8100,SD@MIL 09/16/2019 07:40PM ET,SD,0
SP,Sandy Alcantara (13361193),Sandy Alcantara,13361193,P,8100,MIA@ARI 09/16/2019 09:40PM ET,MIA,13.92
SP,Dakota Hudson (13360576),Dakota Hudson,13360576,P,8100,WAS@STL 09/16/2019 07:45PM ET,STL,13.50
SP,Grant Holmes (13361194),Grant Holmes,13361194,P,8100,KC@OAK 09/16/2019 10:07PM ET,OAK,0
SP,Joel Payamps (13361197),Joel Payamps,13361197,P,8000,MIA@ARI 09/16/2019 09:40PM ET,ARI,3.4
SP,Jon Gray (13361196),Jon Gray,13361196,P,8000,NYM@COL 09/16/2019 08:40PM ET,COL,15.9
RP,Ryan Helsley (13361198),Ryan Helsley,13361198,P,7900,WAS@STL 09/16/2019 07:45PM ET,STL,5.30
SP,Pedro Avila (13361200),Pedro Avila,13361200,P,7800,SD@MIL 09/16/2019 07:40PM ET,SD,15.8
SP,Adam Wainwright (13361199),Adam Wainwright,13361199,P,7800,WAS@STL 09/16/2019 07:45PM ET,STL,14.58
SP,Lucas Sims (13361203),Lucas Sims,13361203,P,7700,CIN@CHC 09/16/2019 08:05PM ET,CIN,6.2
SP,Jimmy Nelson (13361201),Jimmy Nelson,13361201,P,7700,SD@MIL 09/16/2019 07:40PM ET,MIL,2.96
